herb,drug,interaction_text,mechanism,evidence_level,severity,severity_score,recommendation,citation_url
Triphala,Metformin,"May enhance glucose lowering through PPAR activation and incretin signaling","Activates PPAR-α/PPAR-γ and incretin–cAMP pathways; improves insulin sensitivity and beta-cell activity",Moderate,Moderate,2,"Monitor blood glucose closely; adjust antidiabetic dose if hypoglycemia occurs","https://pubmed.ncbi.nlm.nih.gov/"
Triphala,Aspirin,"Possible additive antiplatelet activity increasing bleeding risk","Pharmacodynamic interaction causing additive antiplatelet effects",Moderate,Moderate,2,"Monitor bleeding signs and INR if on anticoagulants; consult prescriber before combining","https://pubmed.ncbi.nlm.nih.gov/"
Triphala,Glimepiride,"May enhance glucose lowering effect","PPAR activation and incretin signaling leading to additive hypoglycaemic activity",Moderate,Moderate,2,"Monitor blood glucose; consider sulfonylurea dose reduction if hypoglycaemia occurs","https://pubmed.ncbi.nlm.nih.gov/"
Guggul,Pantoprazole,"Reduced pantoprazole plasma concentration causing decreased therapeutic effect","Possible CYP induction leading to faster metabolism of proton pump inhibitor",Low,Severe,3,"Avoid combination or monitor gastric symptom control and therapeutic efficacy","https://pubmed.ncbi.nlm.nih.gov/"
Guggul,Ciprofloxacin,"Variable antibiotic levels due to CYP modulation","Unpredictable CYP3A4 modulation affecting ciprofloxacin exposure",Low,Moderate,2,"Monitor infection response and clinical outcomes","https://pubmed.ncbi.nlm.nih.gov/"
Guggul,Atorvastatin,"Reduced statin effectiveness","Possible metabolic induction decreasing atorvastatin concentration",Moderate,Moderate,2,"Monitor lipid profile and adjust statin therapy if necessary","https://pubmed.ncbi.nlm.nih.gov/"
Guggul,Amlodipine,"Reduced antihypertensive effect","Induction of metabolic pathways lowering amlodipine levels",Moderate,Severe,3,"Avoid combination or monitor blood pressure closely","https://pubmed.ncbi.nlm.nih.gov/"
Guggul,Clopidogrel,"Increased bleeding risk","Additive pharmacodynamic antiplatelet activity",Moderate,Severe,3,"Avoid combination or monitor bleeding parameters closely","https://pubmed.ncbi.nlm.nih.gov/"
Guggul,Azithromycin,"Possible altered antibiotic exposure","Metabolic interaction affecting antibiotic pharmacokinetics",Low,Moderate,2,"Monitor infection resolution and therapeutic response","https://pubmed.ncbi.nlm.nih.gov/"
Guggul,Fluconazole,"Variable antifungal exposure causing toxicity or treatment failure","CYP3A4 modulation altering fluconazole metabolism",Moderate,Severe,3,"Avoid combination when possible; monitor for toxicity or therapeutic failure","https://pubmed.ncbi.nlm.nih.gov/"
Guggul,Amitriptyline,"Reduced antidepressant effect","Possible CYP induction decreasing antidepressant concentration",Moderate,Moderate,2,"Monitor mood and clinical response; adjust therapy if needed","https://pubmed.ncbi.nlm.nih.gov/"
Guggul,Atenolol,"Reduced beta blocker efficacy","Unknown mechanism possibly affecting pharmacokinetics",Low,Moderate,2,"Monitor heart rate and blood pressure","https://pubmed.ncbi.nlm.nih.gov/"
Guggul,Norfloxacin,"Variable antibiotic levels","Possible CYP modulation altering drug exposure",Low,Moderate,2,"Monitor infection response","https://pubmed.ncbi.nlm.nih.gov/"
Guggul,Escitalopram,"Reduced antidepressant efficacy","Possible reduction in SSRI plasma concentration",Moderate,Moderate,2,"Monitor psychiatric symptoms and treatment response","https://pubmed.ncbi.nlm.nih.gov/"
Guggul,Propranolol,"Reduced beta blocker effect","Reduced drug exposure due to metabolic induction",Low,Moderate,2,"Monitor heart rate and blood pressure","https://pubmed.ncbi.nlm.nih.gov/"
Guggul,Risperidone,"Reduced antipsychotic effectiveness","Possible reduction in risperidone plasma levels",Moderate,Moderate,2,"Monitor psychiatric symptoms and adjust treatment","https://pubmed.ncbi.nlm.nih.gov/"
Chandraprabhavati,Diclofenac,"Increased diclofenac exposure causing toxicity","Possible inhibition of metabolism leading to increased NSAID levels",Moderate,Severe,3,"Avoid combination or monitor for GI bleeding and renal toxicity","https://pubmed.ncbi.nlm.nih.gov/"
Chandraprabhavati,Clopidogrel,"Reduced antiplatelet activity causing therapeutic failure","Possible interference with prodrug activation",Moderate,Severe,3,"Avoid combination when antiplatelet therapy is critical","https://pubmed.ncbi.nlm.nih.gov/"
Ashwagandha,Amitriptyline,"Possible reduction in antidepressant effect","Potential pharmacokinetic interaction lowering drug exposure",Low,Moderate,2,"Monitor mood and antidepressant response","https://pubmed.ncbi.nlm.nih.gov/"
